"","Station","State","airportCode","Lat","Lon","Elevation","WMO"
"242","Modesto City","CA","KMOD",37.63,-120.95,30,99999
"243","Monterey","CA","KMRY",36.58,-121.85,77,99999
"244","Mount Wilson","CA","KMWS",34.23,-118.07,1739,72289
"245","San Diego Montgomery","CA","KMYF",32.82,-117.13,129,99999
"246","Marysville","CA","KMYV",39.1,-121.57,19,99999
"247","Camp Pendleton","CA","KNFG",33.3,-117.35,24,99999
"248","China Lake","CA","KNID",35.68,-117.68,696,74612
"249","El Centro","CA","KNJK",32.82,-115.68,13,72281
"250","Miramar MCAS","CA","KNKX",32.85,-117.12,128,72293
"251","Lemoore NAS","CA","KNLC",36.33,-119.95,72,74702
"252","Imperial Beach","CA","KNRS",32.57,-117.12,7,99999
"253","San Nicolas Island","CA","KNSI",33.23,-119.45,154,72291
"254","Point Mugu","CA","KNTD",34.12,-119.12,2,72391
"255","Moffett NAS","CA","KNUQ",37.42,-122.05,12,74509
"256","Twentynine Palms","CA","KNXP",34.3,-116.17,626,69015
"257","North Island","CA","KNZY",32.7,-117.22,8,99999
"258","Shelter Cove","CA","KO87",40.02,-124.07,21,99999
"259","Oakland","CA","KOAK",37.73,-122.22,3,72493
"260","Ontario","CA","KONT",34.05,-117.6,287,99999
"261","Oroville","CA","KOVE",39.49,-121.62,59,99999
"262","Oxnard","CA","KOXR",34.2,-119.2,13,99999
"263","Inyokern","CA","KIYK",35.66,-117.83,748,99999
"264","Palo Alto","CA","KPAO",37.47,-122.12,2,99999
"265","Palmdale","CA","KPMD",34.63,-118.08,774,72382
"266","La Verne","CA","KPOC",34.1,-117.78,308,99999
"267","Paso Robles","CA","KPRB",35.67,-120.63,255,99999
"268","Palm Springs","CA","KPSP",33.83,-116.5,141,99999
"269","Porterville","CA","KPTV",36.03,-119.07,135,99999
"270","Riverside","CA","KRAL",33.95,-117.45,249,99999
"271","Red Bluff","CA","KRBL",40.15,-122.25,108,72591
"272","Redding","CA","KRDD",40.5,-122.3,153,72592
"273","San Jose Reid","CA","KRHV",37.33,-121.82,41,99999
"274","Riverside March","CA","KRIV",33.88,-117.27,469,72286
"275","Alturas","CA","KAAT",41.5,-120.53,1341,99999
"276","Sacramento","CA","KSAC",38.52,-121.5,8,72483
"277","San Diego","CA","KSAN",32.73,-117.17,9,72290
"278","Santa Barbara","CA","KSBA",34.43,-119.83,3,99999
"279","San Luis Obispo","CA","KSBP",35.23,-120.63,64,99999
"280","Stockton","CA","KSCK",37.9,-121.25,8,72492
"281","Sandberg","CA","KSDB",34.75,-118.73,1379,72383
"282","San Diego Brown","CA","KSDM",32.57,-116.98,160,99999
"283","San Diego Gille","CA","KSEE",32.83,-116.97,117,99999
"284","San Francisco","CA","KSFO",37.62,-122.38,5,72494
"285","Montague","CA","KSIY",41.78,-122.47,807,99999
"286","San Jose","CA","KSJC",37.37,-121.93,17,74505
"287","Los Alamitos","CA","KSLI",33.78,-118.05,11,99999
"288","Sacramento International","CA","KSMF",38.7,-121.58,7,99999
"289","Santa Monica","CA","KSMO",34.02,-118.45,53,99999
"290","Santa Maria","CA","KSMX",34.9,-120.45,73,72394
"291","Santa Ana","CA","KSNA",33.68,-117.87,16,99999
"292","Salinas","CA","KSNS",36.67,-121.6,26,99999
"293","San Carlos","CA","KSQL",37.52,-122.25,1,99999
"294","Santa Rosa","CA","KSTS",38.52,-122.82,38,99999
"295","Fairfield","CA","KSUU",38.27,-121.93,19,74516
"296","Susanville","CA","KSVE",40.38,-120.57,1263,99999
"297","Torrance","CA","KTOA",33.8,-118.33,31,99999
"298","Truckee-Tahoe","CA","KTRK",39.32,-120.13,1798,99999
"299","Thermal","CA","KTRM",33.63,-116.17,36,99999
"300","South Lake Tahoe","CA","KTVL",38.9,-120,1909,99999
"301","Ukiah","CA","KUKI",39.13,-123.2,187,99999
"302","Vacaville","CA","KVCB",38.38,-121.96,35,99999
"303","Vandenberg AFB","CA","KVBG",34.73,-120.58,112,72393
"304","Visalia","CA","KVIS",36.32,-119.4,89,99999
"305","Van Nuys","CA","KVNY",34.22,-118.48,244,99999
"306","Lancaster","CA","KWJF",34.73,-118.22,715,99999
"307","Vandenberg","CA","KXVW",34.72,-120.57,100,99999
"308","Oceanside","CA","KOKB",33.22,-117.35,8,99999
"309","Madera","CA","KMAE",36.99,-120.11,77,99999
"310","Watsonville","CA","KWVI",36.94,-121.79,43,99999
"311","Rifle","CO","KRIL",39.53,-107.8,1622,99999
"312","Air Force Academy","CO","KAFF",38.97,-104.82,2003,74531
"313","Akron","CO","KAKO",40.17,-103.22,1431,99999
"314","Alamosa","CO","KALS",37.45,-105.87,2299,72462
"315","Denver Centennial","CO","KAPA",39.57,-104.85,1793,99999
"316","Aspen","CO","KASE",39.22,-106.87,2382,99999
"317","Broomfield","CO","KBJC",39.92,-105.12,1724,99999
"318","Aurora","CO","KBKF",39.72,-104.75,1726,99999
"319","Burlington","CO","KITR",39.24,-102.29,1285,99999
"320","Craig","CO","KCAG",40.5,-107.52,2438,72570
"321","Cortez","CO","KCEZ",37.3,-108.63,1803,99999
"322","Colorado Springs","CO","KCOS",38.82,-104.72,1881,72466
"323","Denver","CO","KDEN",39.87,-104.67,1656,72565
"324","Durango","CO","KDRO",37.15,-107.75,2038,99999
"325","Eagle","CO","KEGE",39.65,-106.92,1993,99999
"326","Fort Carson","CO","KFCS",38.68,-104.77,1789,72468
"327","Fort Collins","CO","KFNL",40.45,-105.02,1529,99999
"328","Grand Junction","CO","KGJT",39.12,-108.53,1475,72476
"329","Gunnison","CO","KGUC",38.53,-106.93,2339,99999
"330","Greeley","CO","KGXY",40.43,-104.63,1420,99999
"331","Hayden","CO","KHDN",40.48,-107.22,2012,99999
"332","Lamar","CO","KLAA",38.07,-102.68,1129,99999
"333","La Junta","CO","KLHX",38.05,-103.52,1292,99999
"334","Limon","CO","KLIC",39.27,-103.67,1635,99999
"335","Leadville","CO","KLXV",39.22,-106.32,3026,99999
"336","Meeker","CO","KEEO",40.05,-107.89,1957,99999
"337","Montrose","CO","KMTJ",38.5,-107.9,1755,99999
"338","Pueblo","CO","KPUB",38.28,-104.52,1439,72464
"339","Trinidad","CO","KTAD",37.27,-104.33,1756,99999
"340","Telluride","CO","KTEX",37.95,-107.9,2767,99999
"341","Springfield","CO","KSPD",37.28,-102.61,1335,99999
"342","Meriden","CT","KMMK",41.51,-72.83,31,99999
"343","Hartford","CT","KBDL",41.93,-72.68,55,72508
